iter	RMSE
0	12.08675478
1	11.20780839
2	10.55328005
3	9.860147025
4	9.395799693
5	8.884576789
6	8.370909249
7	7.844474354
8	7.40705611
9	7.082725118
10	6.733532768
11	6.379528612
12	6.068177623
13	5.825287264
14	5.541754249
15	5.3237708
16	5.082452355
17	4.926519809
18	4.721036251
19	4.578648365
20	4.426557148
21	4.299411456
22	4.151074234
23	4.024623542
24	3.879122376
25	3.781315936
26	3.646588011
27	3.553058419
28	3.447910522
29	3.333989593
30	3.23269219
31	3.146746644
32	3.060195266
33	2.982464077
34	2.912843538
35	2.83956429
36	2.769451262
37	2.718013287
38	2.665503176
39	2.622682148
40	2.588099269
41	2.563014959
42	2.53099864
43	2.508946878
44	2.477025765
45	2.442227493
46	2.37660319
47	2.310772648
48	2.290368158
49	2.245286395
50	2.228111509
51	2.169011769
52	2.145330532
53	2.121770258
54	2.049796373
55	2.001288052
56	1.95186647
57	1.928503372
58	1.880076451
59	1.848884378
60	1.829719081
61	1.775969444
62	1.737735003
63	1.6754361
64	1.641134907
65	1.585366251
66	1.541163107
67	1.509543065
68	1.479265917
69	1.460758031
70	1.417441734
71	1.391684744
72	1.357738976
73	1.315950369
74	1.286305101
75	1.253450121
76	1.231283207
77	1.187025516
78	1.153616283
79	1.136025971
80	1.109879912
81	1.087315065
82	1.062532471
83	1.038118605
84	1.027950158
85	1.017751871
86	1.001960734
87	0.9857219792
88	0.9672628101
89	0.9423959679
90	0.9216095332
91	0.9123097429
92	0.8921272301
93	0.8734011134
94	0.8493892413
95	0.842485804
96	0.8198620917
97	0.8114916627
98	0.8053254518
99	0.7975933233
100	0.7901308252
101	0.7736421059
102	0.7498963415
103	0.7338093203
104	0.7214302647
105	0.7155930491
106	0.7015267974
107	0.6830808129
108	0.6701321825
109	0.6652457036
110	0.6485491745
111	0.6439971107
112	0.6348936364
113	0.6279310638
114	0.619688368
115	0.6011538382
116	0.5970529163
117	0.5890477825
118	0.5802812797
119	0.5679663474
120	0.5606031311
121	0.5569687269
122	0.5534989671
123	0.545596461
124	0.5422657749
125	0.5333699704
126	0.5273839842
127	0.5176679791
128	0.5102900284
129	0.5007228315
130	0.4943838011
131	0.4875116522
132	0.4785555563
133	0.473801684
134	0.4671241927
135	0.4642919715
136	0.45601257
137	0.4533198592
138	0.4456224911
139	0.4377771064
140	0.4305826338
141	0.4231258279
142	0.4164014925
143	0.4094778429
144	0.4032292927
145	0.4008892975
146	0.3944366955
147	0.3886416462
148	0.3816025996
149	0.3713385441
