iter	Passed	Remaining
407	9254	13427
408	9283	13414
409	9307	13393
410	9328	13369
411	9362	13362
412	9388	13344
413	9414	13325
414	9437	13302
415	9460	13281
416	9482	13257
417	9508	13238
418	9532	13218
419	9555	13196
420	9578	13173
421	9602	13151
422	9625	13130
423	9652	13112
424	9677	13093
425	9745	13131
426	9776	13119
427	9802	13099
428	9828	13081
429	9852	13060
430	9873	13035
431	9924	13048
432	9952	13032
433	9981	13017
434	10005	12995
435	10034	12981
436	10049	12947
437	10073	12925
438	10095	12901
439	10149	12917
440	10174	12896
441	10204	12882
442	10238	12873
443	10263	12852
444	10285	12828
445	10309	12805
446	10343	12795
447	10395	12808
448	10425	12793
449	10450	12773
450	10473	12749
451	10498	12728
452	10520	12703
453	10546	12683
454	10567	12657
455	10592	12637
456	10629	12630
457	10685	12644
458	10710	12624
459	10737	12604
460	10764	12585
461	10800	12577
462	10836	12568
463	10868	12554
464	10897	12537
465	10929	12524
466	10951	12499
467	10974	12475
468	10997	12451
469	11020	12427
470	11040	12400
471	11064	12376
472	11084	12350
473	11106	12324
474	11126	12297
475	11148	12272
476	11179	12257
477	11207	12239
478	11233	12218
479	11264	12203
480	11285	12177
481	11307	12151
482	11331	12129
483	11355	12105
484	11377	12081
485	11398	12055
486	11420	12030
487	11442	12005
488	11467	11983
489	11489	11958
490	11518	11940
491	11552	11927
492	11574	11902
493	11596	11878
494	11617	11852
495	11640	11827
496	11662	11803
497	11682	11776
498	11705	11752
499	11727	11727
500	11749	11702
501	11775	11681
502	11797	11656
503	11818	11630
504	11842	11608
