지표 (Indicator),평균 (Mean),표준편차 (Std),최솟값 (Min),최댓값 (Max),변동계수 (CV)
Call Interest Rate (e_cir),2.3869532710280374,1.2711645829188218,0.48,5.21,53.254690753595845
M2 Money Supply (e_ms),2244665.637850467,812497.756519022,1027697.4,3856855.0,36.19682784011808
